sales,month,year,display_size,primary_camera,ram,storage,battery,prices,market
0.37,6,2014,4.7,10.0,2048.0,16.0,2200.0,342.35,google-play
0.31,7,2014,4.7,10.0,2048.0,16.0,2200.0,323.94,google-play
0.28,8,2014,4.7,10.0,2048.0,16.0,2200.0,301.69,google-play
0.06,9,2014,4.7,10.0,2048.0,16.0,2200.0,282.63,google-play
0.04,10,2014,4.7,10.0,2048.0,16.0,2200.0,284.72,google-play
0.01,11,2014,4.7,10.0,2048.0,16.0,2200.0,282.36,google-play
0.03,12,2014,4.7,10.0,2048.0,16.0,2200.0,280.0,google-play
0.39,9,2014,5.5,8.0,1024.0,16.0,2915.0,712.57,ios
0.5,10,2014,5.5,8.0,1024.0,16.0,2915.0,711.21,ios
0.85,11,2014,5.5,8.0,1024.0,16.0,2915.0,690.93,ios
0.68,12,2014,5.5,8.0,1024.0,16.0,2915.0,679.37,ios
0.26,1,2013,4.8,8.0,1024.0,64.0,2100.0,410.27,google-play
0.12,2,2013,4.8,8.0,1024.0,64.0,2100.0,398.98,google-play
0.09,3,2013,4.8,8.0,1024.0,64.0,2100.0,398.98,google-play
0.22,4,2013,4.8,8.0,1024.0,64.0,2100.0,387.69,google-play
0.2,5,2013,4.8,8.0,1024.0,64.0,2100.0,376.4,google-play
0.21,6,2013,4.8,8.0,1024.0,64.0,2100.0,365.43,google-play
0.2,7,2013,4.8,8.0,1024.0,64.0,2100.0,354.79,google-play
0.1,8,2013,4.8,8.0,1024.0,64.0,2100.0,344.46,google-play
0.18,9,2013,4.8,8.0,1024.0,64.0,2100.0,334.42,google-play
0.13,10,2013,4.8,8.0,1024.0,64.0,2100.0,324.68,google-play
0.28,11,2013,4.8,8.0,1024.0,64.0,2100.0,315.23,google-play
0.09,12,2013,4.8,8.0,1024.0,64.0,2100.0,306.04,google-play
0.11,1,2014,4.8,8.0,1024.0,64.0,2100.0,297.13,google-play
0.12,2,2014,4.8,8.0,1024.0,64.0,2100.0,288.48,google-play
0.15,3,2014,4.8,8.0,1024.0,64.0,2100.0,264.3,google-play
0.08,4,2014,4.8,8.0,1024.0,64.0,2100.0,264.3,google-play
0.01,5,2014,4.8,8.0,1024.0,64.0,2100.0,263.04,google-play
0.01,6,2014,4.8,8.0,1024.0,64.0,2100.0,253.88,google-play
0.81,9,2014,4.7,8.0,1024.0,128.0,1810.0,780.24,ios
0.75,10,2014,4.7,8.0,1024.0,128.0,1810.0,807.67,ios
0.41,11,2014,4.7,8.0,1024.0,128.0,1810.0,799.04,ios
0.4,12,2014,4.7,8.0,1024.0,128.0,1810.0,790.59,ios
0.02,8,2013,5.8,8.0,1536.0,8.0,2600.0,328.49,google-play
0.08,9,2013,5.8,8.0,1536.0,8.0,2600.0,318.93,google-play
0.07,10,2013,5.8,8.0,1536.0,8.0,2600.0,309.64,google-play
0.3,11,2013,5.8,8.0,1536.0,8.0,2600.0,300.62,google-play
0.2,12,2013,5.8,8.0,1536.0,8.0,2600.0,291.86,google-play
0.2,1,2014,5.8,8.0,1536.0,8.0,2600.0,283.36,google-play
0.44,2,2014,5.8,8.0,1536.0,8.0,2600.0,275.11,google-play
0.46,3,2014,5.8,8.0,1536.0,8.0,2600.0,260.53,google-play
0.1,4,2014,5.8,8.0,1536.0,8.0,2600.0,257.09,google-play
0.11,5,2014,5.8,8.0,1536.0,8.0,2600.0,255.61,google-play
0.19,6,2014,5.8,8.0,1536.0,8.0,2600.0,254.13,google-play
0.18,7,2014,5.8,8.0,1536.0,8.0,2600.0,252.65,google-play
0.07,8,2014,5.8,8.0,1536.0,8.0,2600.0,220.33,google-play
0.06,9,2014,5.8,8.0,1536.0,8.0,2600.0,212.41,google-play
0.04,10,2014,5.8,8.0,1536.0,8.0,2600.0,214.72,google-play
0.04,11,2014,5.8,8.0,1536.0,8.0,2600.0,196.89,google-play
0.03,12,2014,5.8,8.0,1536.0,8.0,2600.0,274.14,google-play
0.28,1,2013,4.0,8.0,1024.0,64.0,1440.0,477.53,ios
0.11,2,2013,4.0,8.0,1024.0,64.0,1440.0,582.41,ios
0.21,3,2013,4.0,8.0,1024.0,64.0,1440.0,598.45,ios
0.12,4,2013,4.0,8.0,1024.0,64.0,1440.0,782.72,ios
0.37,5,2013,4.0,8.0,1024.0,64.0,1440.0,759.92,ios
0.12,6,2013,4.0,8.0,1024.0,64.0,1440.0,737.79,ios
0.23,7,2013,4.0,8.0,1024.0,64.0,1440.0,716.3,ios
0.1,8,2013,4.0,8.0,1024.0,64.0,1440.0,695.43,ios
0.07,9,2013,4.0,8.0,1024.0,64.0,1440.0,675.18,ios
0.06,10,2013,4.0,8.0,1024.0,64.0,1440.0,655.51,ios
0.05,11,2013,4.0,8.0,1024.0,64.0,1440.0,636.42,ios
0.07,12,2013,4.0,8.0,1024.0,64.0,1440.0,617.88,ios
0.03,1,2014,4.0,8.0,1024.0,64.0,1440.0,599.89,ios
0.05,2,2014,4.0,8.0,1024.0,64.0,1440.0,582.41,ios
0.03,3,2014,4.0,8.0,1024.0,64.0,1440.0,598.45,ios
0.06,4,2014,4.0,8.0,1024.0,64.0,1440.0,598.45,ios
0.01,5,2014,4.0,8.0,1024.0,64.0,1440.0,578.55,ios
0.01,6,2014,4.0,8.0,1024.0,64.0,1440.0,521.69,ios
0.01,7,2014,4.0,8.0,1024.0,64.0,1440.0,502.0,ios
0.01,8,2014,4.0,8.0,1024.0,64.0,1440.0,517.68,ios
0.01,9,2014,4.0,8.0,1024.0,64.0,1440.0,513.55,ios
0.01,10,2014,4.0,8.0,1024.0,64.0,1440.0,488.43,ios
0.01,11,2014,4.0,8.0,1024.0,64.0,1440.0,459.17,ios
0.01,12,2014,4.0,8.0,1024.0,64.0,1440.0,437.75,ios
0.23,9,2014,5.5,8.0,1024.0,64.0,2915.0,798.59,ios
0.3,10,2014,5.5,8.0,1024.0,64.0,2915.0,816.85,ios
0.7,11,2014,5.5,8.0,1024.0,64.0,2915.0,807.5,ios
